category,name,price,availability,link
Graphics Card,Gigabye RTX 5080 AERO OC SFF 16GB GDDR7,"92,500",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,XFX Quicksilver RX 9070XT Magnetic Air Edition 16GB,"49,500",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,XFX Swift RX 9070 Triple Fan Gaming Edition 16GB,"42,500",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,ASRock Intel Arc B580 Challenger 12GB OC,"17,900",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,MSI RTX 3050 VENTUS 2X 6GB OC,"10,700",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabtye RTX 5070Ti WINDFORCE OC SFF 16GB GDDR7,"63,900",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 3060 WINDFORCE OC 12GB GDDR6,"17,990",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,XFX RX 580 8GB GTS XXX Edition S Version,"6,580",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 4060Ti WINDFORCE OC 16GB GDDR6,"28,200",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Colorful iGame RTX 4060Ti Ultra W DUO OC 8GB-V,"24,900",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,MSI RTX 4060Ti Gaming X Slim 8GB,"27,500",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,MSI RTX 4060Ti Ventus 2X Black 8GB OC,"24,200",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 4060Ti GAMING OC 8GB GDDR6,"25,900",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 4060Ti EAGLE OC ICE 8GB GDDR6,"25,750",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 3050 WINDFORCE OC V2 6GB,"10,900",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 4060 EAGLE OC 8GB GDDR6,"19,200",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,MSI RTX 3050 VENTUS 2X XS 8GB OC,"13,200",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RTX 4060 EAGLE OC ICE 8GB GDDR6,"19,800",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Gigabyte RX 6600 EAGLE 8GB [Triple Fan],"13,450",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Graphics Card,Sapphire NITRO+ RX 7800XT GAMING OC 16GB GDDR6,"34,950",In Stock,https://windnetpc.com/c/compnents/graphics-card/
Processor,Intel Core i5 14400 (Tray) (No Cooler) (10-Cores (6P/4E) 16-Threads 4.7GHz 20MB Cache),"9,650",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,"Intel Core Ultra 7 265K (Boxed) (20-cores (8P/12E), 20-threads, 5.5GHz max boost, 30mb cache) (LGA1851)","25,500",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,"Ryzen 5 8400F (Tray) (6-cores 12-threads, up to 4.7GHz, 16mb cache)","7,450",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,"Ryzen 9 9900X (Boxed) (12-Cores 24-Threads, Up to 5.6 GHz, 64MB Cache)","29,550",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 5 9600X (Tray) (No Cooler),"12,900",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 7 7700 (Tray) (No Cooler) (AM5),"13,550",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 7 5700X3D (Tray) (No Cooler),"11,200",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,"Ryzen 7 9800X3D (Boxed) (8-cores 16-threads 96MB Cache, 5.2Ghz Max Boost)","32,600",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 7 7800X3D (Tray) (No Cooler) (AM5),"26,900",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 5 8600G (6-cores 12-threads 5.0GHz Radeon 760M Graphics),"11,750",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,Ryzen 5 5600GT (Tray with Wraith Cooler),"7,100",In Stock,https://windnetpc.com/c/compnents/processor/
Processor,"Intel Core i5 12400 (6-cores 12-threads 4.4GHz, UHD730 Graphics, LGA 1700)","7,550",In Stock,https://windnetpc.com/c/compnents/processor/
